#{"t_start": 1626984388.574869, "env_id": null}
r,l,t
-39.509506,99,312.731114
-23.34495,94,313.15098
-24.60928,99,313.565146
-24.6027,99,313.985521
-24.609282,99,314.399559
-24.597101,99,314.816971
-33.56714,99,315.345247
-38.21037,99,315.754982
-40.524563,99,316.157231
-38.275505,99,316.678421
-37.254074,99,317.075264
-23.370895,94,317.493723
-24.551796,99,317.911613
-24.61423,99,318.334777
-24.600443,99,318.752777
-24.61423,99,319.173435
-38.985275,99,319.743642
-41.28024,99,320.142991
-37.49243,99,320.58749
-37.020023,99,320.985215
-39.195686,99,321.384252
-23.365948,94,321.807109
-24.61423,99,322.226279
-24.609282,99,322.645696
-24.605434,99,323.063322
-24.595493,99,323.479595
-38.4581,99,324.013093
-39.432156,99,324.542316
-44.43806,99,324.941682
-39.342525,99,325.340429
-38.67831,99,325.738746
-23.367512,94,326.202594
-24.609282,99,326.620469
-24.583334,99,327.037051
-24.61423,99,327.460044
-24.604332,99,327.881393
-41.320923,99,328.307049
-43.399258,99,328.704484
-38.556705,99,329.102404
-41.843136,99,329.499021
-42.587254,99,330.025175
-23.355518,94,330.44646
-24.595495,99,330.869268
-24.607647,99,331.288108
-24.515327,99,331.71015
-24.595535,99,332.134887
-34.82463,99,332.606888
-42.211674,99,333.071889
-39.464806,99,333.527888
-41.4115,99,334.009462
-33.407825,99,334.407462
-23.370895,94,334.826459
-24.610384,99,335.26152
-24.609282,99,335.703518
-24.599382,99,336.121519
-24.607647,99,336.539567
-37.716408,99,337.042042
-44.669304,99,337.461043
-42.413418,99,337.937708
-37.153755,99,338.338361
-36.872437,99,338.743484
-23.365946,94,339.154121
-24.61423,99,339.562929
-24.61423,99,340.020354
-24.597414,99,340.448353
-24.609282,99,340.854351
-41.823666,99,342.092901
-36.616302,99,343.67332
-38.69146,99,344.073586
-37.47739,99,344.472691
-38.69231,99,344.861999
-23.370895,94,345.945517
-24.5928,99,346.36252
-24.609282,99,346.777962
-24.596312,99,347.197767
-24.61423,99,347.614051
-37.312145,99,348.147226
-38.091938,99,348.543582
-37.63145,99,348.944082
-38.502968,99,349.339793
-40.046932,99,349.932957
-23.367512,94,350.349733
-24.61423,99,350.764667
-24.588284,99,351.185401
-24.59164,99,351.600749
-24.546848,99,352.019562
-40.757156,99,353.021198
-41.694557,99,353.422196
-38.028904,99,353.819992
-35.23702,99,354.249047
-42.74431,99,354.636049
-23.313414,94,355.054766
-24.595493,99,355.46688
-24.583334,99,355.886118
-24.583334,99,356.301387
-24.609282,99,356.727158
-37.149437,99,357.256332
-36.722313,99,357.655226
-40.27076,99,358.222079
-39.963913,99,358.620552
-38.93644,99,359.016795
-23.370895,94,359.43639
-24.600443,99,359.856847
-24.583334,99,360.27263
-24.600443,99,360.693046
-24.605898,99,361.125202
-38.987267,99,361.544459
-38.65547,99,361.968384
-39.695335,99,362.368266
-32.789818,99,362.762627
-37.904938,99,363.150266
-23.370895,94,363.606012
-24.61423,99,364.019012
-24.595495,99,364.430662
-24.609282,99,364.850666
-24.610384,99,365.27065
-40.4919,99,365.68525
-37.385815,99,366.081966
-38.8836,99,366.47629
-41.88527,99,366.878758
-42.883114,99,367.318736
-23.34,94,367.727435
-24.538994,99,368.147834
-24.583334,99,368.5668
-24.604332,99,368.987724
-24.609282,99,369.405279
-40.094246,99,369.870242
-45.279457,99,370.266145
-35.830105,99,370.661182
-39.011578,99,371.084239
-40.035168,99,371.482615
-23.370895,94,371.901111
-24.609282,99,372.319107
-24.604332,99,372.737151
-24.605898,99,373.152149
-24.61423,99,373.569758
-35.936142,99,374.093073
-41.976837,99,374.490311
-34.908726,99,374.94431
-35.84416,99,375.344101
-36.4489,99,375.734099
-23.359364,94,376.145788
-24.609282,99,376.551471
-24.525225,99,376.969133
-24.605434,99,377.387455
-24.607647,99,377.803041
-37.28677,99,378.325265
-46.390617,99,378.736345
-37.76184,99,379.138345
-44.143917,99,379.532381
-35.898582,99,379.928663
-23.365948,94,380.465563
-24.60928,99,380.884288
-24.58973,99,381.304544
-24.515327,99,381.719973
-24.609282,99,382.132481
-39.83618,99,382.667292
-37.191772,99,383.063472
-37.14018,99,383.463738
-39.96835,99,383.861316
-38.616493,99,384.405541
-23.370895,94,384.819545
-24.578386,99,385.235117
-24.609282,99,385.653779
-24.609282,99,386.071256
-24.596312,99,386.493086
-38.057194,99,386.913182
-38.52951,99,387.310091
-39.38876,99,387.712116
-41.12151,99,388.248185
-43.79739,99,388.648383
-23.365948,94,389.069225
-24.604332,99,389.487506
-24.609282,99,389.903289
-24.609282,99,390.316159
-24.61423,99,390.733715
-43.75704,99,391.189133
-40.181797,99,391.585603
-42.160816,99,392.024183
-36.925724,99,392.4227
-36.128414,99,392.816697
-23.365946,94,393.229529
-24.61423,99,393.648002
-24.609282,99,394.066077
-24.595495,99,394.479079
-24.610384,99,394.896914
-43.242207,99,395.335259
-39.677803,99,395.761504
-41.759987,99,396.162506
-44.915283,99,396.559044
-37.478397,99,396.957824
-23.3621,94,397.523827
-24.610846,99,397.937723
-24.600487,99,398.356764
-24.61423,99,398.777541
-24.609282,99,399.198723
-39.6045,99,399.731617
-40.291664,99,400.131617
-34.85424,99,400.531898
